

#      
#   DShield.org Recommended Block List 
#    (c) 2007 DShield.org
#   some rights reserved. Details http://creativecommons.org/licenses/by-nc-sa/2.5/
#   use on your own risk. No warranties implied.
#   primary URL: http://feeds.dshield.org/block.txt
#     PGP Sign.: http://feeds.dshield.org/block.txt.asc
#
#   comments: info@dshield.org
#    updated: Sun Nov 25 01:11:44 2012 UTC
#   
#    This list summarized the top 20 attacking class C (/24) subnets
#   over the last three days. The number of 'attacks' indicates the 
#   number of targets reporting scans from this subnet.
#
#    At the end of the list, a number of reserved/unassigned network
#   ranges are listed.
#
#    Columns (tab delimited):
#
#    (1) start of netblock  
#    (2) end of netblock
#    (3) subnet (/24 for class C)
#    (4) number of targets scanned
#    (5) name of Network 
#    (6) Country
#    (7) contact email address
#
#    If a range is assigned to multiple users, the first one is listed. 
#     
Start	End	Netblock	Attacks	Name	Country	email
180.131.3.0	180.131.3.255	24	11719			
23.22.76.0	23.22.76.255	24	10957			
221.143.48.0	221.143.48.255	24	8364		KR	nomailapnicblocked
221.232.155.0	221.232.155.255	24	3950	CHINANET-BACKBONE No.31,Jin-rong Street	CN	abuse_hb@public.wh.hb.cn
188.130.251.0	188.130.251.255	24	1180			
116.9.94.0	116.9.94.255	24	1022	CHINANET-BACKBONE No.31,Jin-rong Street	CN	db@ppp.nn.gx.cn
212.14.4.0	212.14.4.255	24	569	pl.amsk	PL	marcin.jarota@man.szczecin.pl
195.110.156.0	195.110.156.255	24	507	MC-link Network	IT	fratics@mclink.it
89.25.186.0	89.25.186.255	24	422			
166.78.7.0	166.78.7.255	24	385	Prometheus Information Network Group, Inc. (NET-PING)	US	mikech@well.com
77.232.232.0	77.232.232.255	24	340			
42.121.122.0	42.121.122.255	24	325			
189.203.4.0	189.203.4.255	24	256			
202.202.113.0	202.202.113.255	24	255			
95.163.100.0	95.163.100.255	24	228			
112.132.213.0	112.132.213.255	24	172			
202.70.136.0	202.70.136.255	24	167	Quarry Bay, Hong Kong	HK	lleung@stt.com.hk
60.191.111.0	60.191.111.255	24	152	CHINANET-BACKBONE No.31,Jin-rong Street	CN	wang@mail.hf.ah.cninfo.net
85.214.105.0	85.214.105.255	24	148	STRATO Strato AG	DE	abuse-server@strato.de
111.161.86.0	111.161.86.255	24	145			
#
#
#   RESERVED NETWORKS
#
# please see http://www.cymru.com/Documents/bogon-dd.html
#
#
#
# END
#
#  finished list generation: Sun Nov 25 01:11:47 2012 UTC
